search_term,area,date,search_intensity
telecommuting,China,2011-12-27,143
telecommuting,China,2011-12-28,122
telecommuting,China,2011-12-29,78
telecommuting,China,2011-12-30,85
telecommuting,China,2011-12-31,68
telecommuting,China,2012-01-01,64
telecommuting,China,2012-01-02,137
telecommuting,China,2012-01-03,61
telecommuting,China,2012-01-04,127
telecommuting,China,2012-01-05,78
telecommuting,China,2012-01-06,78
telecommuting,China,2012-01-07,70
telecommuting,China,2012-01-08,0
telecommuting,China,2012-01-09,74
telecommuting,China,2012-01-10,134
telecommuting,China,2012-01-11,129
telecommuting,China,2012-01-12,131
telecommuting,China,2012-01-13,124
telecommuting,China,2012-01-14,123
telecommuting,China,2012-01-15,119
telecommuting,China,2012-01-16,68
telecommuting,China,2012-01-17,76
telecommuting,China,2012-01-18,63
telecommuting,China,2012-01-19,63
telecommuting,China,2012-01-20,63
telecommuting,China,2012-01-21,57
telecommuting,China,2012-01-22,0
telecommuting,China,2012-01-23,67
telecommuting,China,2012-01-24,0
telecommuting,China,2012-01-25,145
telecommuting,China,2012-01-26,151
telecommuting,China,2012-01-27,123
telecommuting,China,2012-01-28,57
telecommuting,China,2012-01-29,70
telecommuting,China,2012-01-30,72
telecommuting,China,2012-01-31,124
telecommuting,China,2012-02-01,133
telecommuting,China,2012-02-02,132
telecommuting,China,2012-02-03,131
telecommuting,China,2012-02-04,120
telecommuting,China,2012-02-05,128
telecommuting,China,2012-02-06,72
telecommuting,China,2012-02-07,148
telecommuting,China,2012-02-08,134
telecommuting,China,2012-02-09,146
telecommuting,China,2012-02-10,139
telecommuting,China,2012-02-11,129
telecommuting,China,2012-02-12,68
telecommuting,China,2012-02-13,131
telecommuting,China,2012-02-14,141
telecommuting,China,2012-02-15,141
telecommuting,China,2012-02-16,74
telecommuting,China,2012-02-17,83
telecommuting,China,2012-02-18,58
telecommuting,China,2012-02-19,123
telecommuting,China,2012-02-20,72
telecommuting,China,2012-02-21,91
telecommuting,China,2012-02-22,78
telecommuting,China,2012-02-23,82
telecommuting,China,2012-02-24,141
telecommuting,China,2012-02-25,130
telecommuting,China,2012-02-26,129
telecommuting,China,2012-02-27,137
telecommuting,China,2012-02-28,154
telecommuting,China,2012-02-29,76
telecommuting,China,2012-03-01,135
telecommuting,China,2012-03-02,133
telecommuting,China,2012-03-03,152
telecommuting,China,2012-03-04,121
telecommuting,China,2012-03-05,152
telecommuting,China,2012-03-06,150
telecommuting,China,2012-03-07,89
telecommuting,China,2012-03-08,141
telecommuting,China,2012-03-09,129
telecommuting,China,2012-03-10,82
telecommuting,China,2012-03-11,64
telecommuting,China,2012-03-12,87
telecommuting,China,2012-03-13,153
telecommuting,China,2012-03-14,68
telecommuting,China,2012-03-15,76
telecommuting,China,2012-03-16,85
telecommuting,China,2012-03-17,119
telecommuting,China,2012-03-18,72
telecommuting,China,2012-03-19,129
telecommuting,China,2012-03-20,138
telecommuting,China,2012-03-21,134
telecommuting,China,2012-03-22,0
telecommuting,China,2012-03-23,127
telecommuting,China,2012-03-24,63
telecommuting,China,2012-03-25,0
telecommuting,China,2012-03-26,121
telecommuting,China,2012-03-27,127
telecommuting,China,2012-03-28,70
telecommuting,China,2012-03-29,129
telecommuting,China,2012-03-30,68
telecommuting,China,2012-03-31,74
telecommuting,China,2012-04-01,123
telecommuting,China,2012-04-02,121
telecommuting,China,2012-04-03,63
telecommuting,China,2012-04-04,78
telecommuting,China,2012-04-05,146
telecommuting,China,2012-04-06,135
telecommuting,China,2012-04-07,131
telecommuting,China,2012-04-08,123
telecommuting,China,2012-04-09,126
telecommuting,China,2012-04-10,135
telecommuting,China,2012-04-11,133
telecommuting,China,2012-04-12,136
telecommuting,China,2012-04-13,121
telecommuting,China,2012-04-14,136
telecommuting,China,2012-04-15,131
telecommuting,China,2012-04-16,137
telecommuting,China,2012-04-17,80
telecommuting,China,2012-04-18,76
telecommuting,China,2012-04-19,68
telecommuting,China,2012-04-20,68
telecommuting,China,2012-04-21,0
telecommuting,China,2012-04-22,0
telecommuting,China,2012-04-23,128
telecommuting,China,2012-04-24,83
telecommuting,China,2012-04-25,80
telecommuting,China,2012-04-26,132
telecommuting,China,2012-04-27,133
telecommuting,China,2012-04-28,63
telecommuting,China,2012-04-29,66
telecommuting,China,2012-04-30,66
telecommuting,China,2012-05-01,78
telecommuting,China,2012-05-02,125
telecommuting,China,2012-05-03,76
telecommuting,China,2012-05-04,127
telecommuting,China,2012-05-05,120
telecommuting,China,2012-05-06,130
telecommuting,China,2012-05-07,136
telecommuting,China,2012-05-08,135
telecommuting,China,2012-05-09,128
telecommuting,China,2012-05-10,148
telecommuting,China,2012-05-11,80
telecommuting,China,2012-05-12,148
telecommuting,China,2012-05-13,122
telecommuting,China,2012-05-14,151
telecommuting,China,2012-05-15,137
telecommuting,China,2012-05-16,140
telecommuting,China,2012-05-17,141
telecommuting,China,2012-05-18,142
telecommuting,China,2012-05-19,134
telecommuting,China,2012-05-20,63
telecommuting,China,2012-05-21,167
telecommuting,China,2012-05-22,80
telecommuting,China,2012-05-23,123
telecommuting,China,2012-05-24,66
telecommuting,China,2012-05-25,130
telecommuting,China,2012-05-26,126
telecommuting,China,2012-05-27,64
telecommuting,China,2012-05-28,144
telecommuting,China,2012-05-29,85
telecommuting,China,2012-05-30,68
telecommuting,China,2012-05-31,76
telecommuting,China,2012-06-01,76
telecommuting,China,2012-06-02,132
telecommuting,China,2012-06-03,57
telecommuting,China,2012-06-04,148
telecommuting,China,2012-06-05,131
telecommuting,China,2012-06-06,133
telecommuting,China,2012-06-07,151
telecommuting,China,2012-06-08,129
telecommuting,China,2012-06-09,61
telecommuting,China,2012-06-10,134
telecommuting,China,2012-06-11,143
telecommuting,China,2012-06-12,130
telecommuting,China,2012-06-13,141
telecommuting,China,2012-06-14,136
telecommuting,China,2012-06-15,137
telecommuting,China,2012-06-16,66
telecommuting,China,2012-06-17,122
telecommuting,China,2012-06-18,134
telecommuting,China,2012-06-19,122
telecommuting,China,2012-06-20,139
telecommuting,China,2012-06-21,74
telecommuting,China,2012-06-22,64
telecommuting,China,2012-06-23,0
telecommuting,China,2012-06-24,63
telecommuting,China,2012-06-25,125
telecommuting,China,2012-06-26,85
telecommuting,China,2012-06-27,83
telecommuting,China,2012-06-28,74
telecommuting,China,2012-06-29,66
telecommuting,China,2012-06-30,0
telecommuting,China,2012-07-01,120
telecommuting,China,2012-07-02,127
telecommuting,China,2012-07-03,137
telecommuting,China,2012-07-04,141
telecommuting,China,2012-07-05,130
telecommuting,China,2012-07-06,138
telecommuting,China,2012-07-07,127
telecommuting,China,2012-07-08,135
telecommuting,China,2012-07-09,149
telecommuting,China,2012-07-10,80
telecommuting,China,2012-07-11,140
telecommuting,China,2012-07-12,129
telecommuting,China,2012-07-13,66
telecommuting,China,2012-07-14,63
telecommuting,China,2012-07-15,61
telecommuting,China,2012-07-16,70
telecommuting,China,2012-07-17,70
telecommuting,China,2012-07-18,128
telecommuting,China,2012-07-19,127
telecommuting,China,2012-07-20,160
telecommuting,China,2012-07-21,63
telecommuting,China,2012-07-22,129
telecommuting,China,2012-07-23,70
telecommuting,China,2012-07-24,137
telecommuting,China,2012-07-25,125
telecommuting,China,2012-07-26,66
telecommuting,China,2012-07-27,78
telecommuting,China,2012-07-28,57
telecommuting,China,2012-07-29,68
telecommuting,China,2012-07-30,82
telecommuting,China,2012-07-31,82
telecommuting,China,2012-08-01,68
telecommuting,China,2012-08-02,76
telecommuting,China,2012-08-03,134
telecommuting,China,2012-08-04,128
telecommuting,China,2012-08-05,121
telecommuting,China,2012-08-06,63
telecommuting,China,2012-08-07,66
telecommuting,China,2012-08-08,120
telecommuting,China,2012-08-09,72
telecommuting,China,2012-08-10,72
telecommuting,China,2012-08-11,120
telecommuting,China,2012-08-12,118
telecommuting,China,2012-08-13,134
telecommuting,China,2012-08-14,80
telecommuting,China,2012-08-15,121
telecommuting,China,2012-08-16,66
telecommuting,China,2012-08-17,70
telecommuting,China,2012-08-18,123
telecommuting,China,2012-08-19,134
telecommuting,China,2012-08-20,93
telecommuting,China,2012-08-21,78
telecommuting,China,2012-08-22,137
telecommuting,China,2012-08-23,127
telecommuting,China,2012-08-24,70
telecommuting,China,2012-08-25,68
telecommuting,China,2012-08-26,0
telecommuting,China,2012-08-27,63
telecommuting,China,2012-08-28,70
telecommuting,China,2012-08-29,137
telecommuting,China,2012-08-30,61
telecommuting,China,2012-08-31,61
telecommuting,China,2012-09-01,57
telecommuting,China,2012-09-02,0
telecommuting,China,2012-09-03,64
telecommuting,China,2012-09-04,64
telecommuting,China,2012-09-05,63
telecommuting,China,2012-09-06,66
telecommuting,China,2012-09-07,66
telecommuting,China,2012-09-08,66
telecommuting,China,2012-09-09,129
telecommuting,China,2012-09-10,74
telecommuting,China,2012-09-11,123
telecommuting,China,2012-09-12,141
telecommuting,China,2012-09-13,70
telecommuting,China,2012-09-14,64
telecommuting,China,2012-09-15,57
telecommuting,China,2012-09-16,78
telecommuting,China,2012-09-17,74
telecommuting,China,2012-09-18,60
telecommuting,China,2012-09-19,76
telecommuting,China,2012-09-20,130
telecommuting,China,2012-09-21,76
telecommuting,China,2012-09-22,123
telecommuting,China,2012-09-23,63
telecommuting,China,2012-09-24,127
telecommuting,China,2012-09-25,125
telecommuting,China,2012-09-26,63
telecommuting,China,2012-09-27,64
telecommuting,China,2012-09-28,66
telecommuting,China,2012-09-29,66
telecommuting,China,2012-09-30,66
telecommuting,China,2012-10-01,76
telecommuting,China,2012-10-02,125
telecommuting,China,2012-10-03,63
telecommuting,China,2012-10-04,57
telecommuting,China,2012-10-05,138
telecommuting,China,2012-10-06,64
telecommuting,China,2012-10-07,118
telecommuting,China,2012-10-08,129
telecommuting,China,2012-10-09,135
telecommuting,China,2012-10-10,143
telecommuting,China,2012-10-11,82
telecommuting,China,2012-10-12,137
telecommuting,China,2012-10-13,133
telecommuting,China,2012-10-14,78
telecommuting,China,2012-10-15,140
telecommuting,China,2012-10-16,135
telecommuting,China,2012-10-17,131
telecommuting,China,2012-10-18,144
telecommuting,China,2012-10-19,83
telecommuting,China,2012-10-20,126
telecommuting,China,2012-10-21,120
telecommuting,China,2012-10-22,125
telecommuting,China,2012-10-23,78
telecommuting,China,2012-10-24,139
telecommuting,China,2012-10-25,131
telecommuting,China,2012-10-26,124
telecommuting,China,2012-10-27,64
telecommuting,China,2012-10-28,78
telecommuting,China,2012-10-29,129
telecommuting,China,2012-10-30,127
telecommuting,China,2012-10-31,137
telecommuting,China,2012-11-01,72
telecommuting,China,2012-11-02,78
telecommuting,China,2012-11-03,78
telecommuting,China,2012-11-04,58
telecommuting,China,2012-11-05,68
telecommuting,China,2012-11-06,127
telecommuting,China,2012-11-07,129
telecommuting,China,2012-11-08,68
telecommuting,China,2012-11-09,66
telecommuting,China,2012-11-10,57
telecommuting,China,2012-11-11,135
telecommuting,China,2012-11-12,138
telecommuting,China,2012-11-13,78
telecommuting,China,2012-11-14,144
telecommuting,China,2012-11-15,139
telecommuting,China,2012-11-16,0
telecommuting,China,2012-11-17,121
telecommuting,China,2012-11-18,0
telecommuting,China,2012-11-19,68
telecommuting,China,2012-11-20,140
telecommuting,China,2012-11-21,139
telecommuting,China,2012-11-22,121
telecommuting,China,2012-11-23,131
telecommuting,China,2012-11-24,57
telecommuting,China,2012-11-25,123
telecommuting,China,2012-11-26,133
telecommuting,China,2012-11-27,134
telecommuting,China,2012-11-28,76
telecommuting,China,2012-11-29,72
telecommuting,China,2012-11-30,68
telecommuting,China,2012-12-01,74
telecommuting,China,2012-12-02,121
telecommuting,China,2012-12-03,126
telecommuting,China,2012-12-04,129
telecommuting,China,2012-12-05,158
telecommuting,China,2012-12-06,149
telecommuting,China,2012-12-07,66
telecommuting,China,2012-12-08,64
telecommuting,China,2012-12-09,121
telecommuting,China,2012-12-10,78
telecommuting,China,2012-12-11,70
telecommuting,China,2012-12-12,123
telecommuting,China,2012-12-13,146
telecommuting,China,2012-12-14,70
telecommuting,China,2012-12-15,76
telecommuting,China,2012-12-16,63
telecommuting,China,2012-12-17,125
telecommuting,China,2012-12-18,70
telecommuting,China,2012-12-19,68
telecommuting,China,2012-12-20,70
telecommuting,China,2012-12-21,128
telecommuting,China,2012-12-22,123
telecommuting,China,2012-12-23,125
telecommuting,China,2012-12-24,61
telecommuting,China,2012-12-25,135
telecommuting,China,2012-12-26,121
telecommuting,China,2012-12-27,143
telecommuting,China,2012-12-28,74
telecommuting,China,2012-12-29,63
telecommuting,China,2012-12-30,120
telecommuting,China,2012-12-31,63
telecommuting,China,2013-01-01,0
telecommuting,China,2013-01-02,121
telecommuting,China,2013-01-03,61
telecommuting,China,2013-01-04,70
telecommuting,China,2013-01-05,118
telecommuting,China,2013-01-06,66
telecommuting,China,2013-01-07,121
telecommuting,China,2013-01-08,134
telecommuting,China,2013-01-09,68
telecommuting,China,2013-01-10,78
telecommuting,China,2013-01-11,64
telecommuting,China,2013-01-12,125
telecommuting,China,2013-01-13,82
telecommuting,China,2013-01-14,76
telecommuting,China,2013-01-15,124
telecommuting,China,2013-01-16,128
telecommuting,China,2013-01-17,80
telecommuting,China,2013-01-18,120
telecommuting,China,2013-01-19,68
telecommuting,China,2013-01-20,122
telecommuting,China,2013-01-21,121
telecommuting,China,2013-01-22,74
telecommuting,China,2013-01-23,119
telecommuting,China,2013-01-24,64
telecommuting,China,2013-01-25,63
telecommuting,China,2013-01-26,70
telecommuting,China,2013-01-27,63
telecommuting,China,2013-01-28,131
telecommuting,China,2013-01-29,70
telecommuting,China,2013-01-30,135
telecommuting,China,2013-01-31,61
telecommuting,China,2013-02-01,64
telecommuting,China,2013-02-02,128
telecommuting,China,2013-02-03,61
telecommuting,China,2013-02-04,123
telecommuting,China,2013-02-05,123
telecommuting,China,2013-02-06,133
telecommuting,China,2013-02-07,118
telecommuting,China,2013-02-08,57
telecommuting,China,2013-02-09,0
telecommuting,China,2013-02-10,0
telecommuting,China,2013-02-11,57
telecommuting,China,2013-02-12,0
telecommuting,China,2013-02-13,57
telecommuting,China,2013-02-14,66
telecommuting,China,2013-02-15,0
telecommuting,China,2013-02-16,61
telecommuting,China,2013-02-17,70
telecommuting,China,2013-02-18,66
telecommuting,China,2013-02-19,130
telecommuting,China,2013-02-20,72
telecommuting,China,2013-02-21,128
telecommuting,China,2013-02-22,121
telecommuting,China,2013-02-23,82
telecommuting,China,2013-02-24,118
telecommuting,China,2013-02-25,137
telecommuting,China,2013-02-26,78
telecommuting,China,2013-02-27,72
telecommuting,China,2013-02-28,135
telecommuting,China,2013-03-01,131
telecommuting,China,2013-03-02,128
telecommuting,China,2013-03-03,68
telecommuting,China,2013-03-04,142
telecommuting,China,2013-03-05,68
telecommuting,China,2013-03-06,133
telecommuting,China,2013-03-07,129
telecommuting,China,2013-03-08,144
telecommuting,China,2013-03-09,140
telecommuting,China,2013-03-10,136
telecommuting,China,2013-03-11,101
telecommuting,China,2013-03-12,74
telecommuting,China,2013-03-13,139
telecommuting,China,2013-03-14,143
telecommuting,China,2013-03-15,74
telecommuting,China,2013-03-16,125
telecommuting,China,2013-03-17,78
telecommuting,China,2013-03-18,85
telecommuting,China,2013-03-19,122
telecommuting,China,2013-03-20,144
telecommuting,China,2013-03-21,80
telecommuting,China,2013-03-22,68
telecommuting,China,2013-03-23,121
telecommuting,China,2013-03-24,63
telecommuting,China,2013-03-25,85
telecommuting,China,2013-03-26,129
telecommuting,China,2013-03-27,132
telecommuting,China,2013-03-28,152
telecommuting,China,2013-03-29,121
telecommuting,China,2013-03-30,137
telecommuting,China,2013-03-31,129
