date,country,province,city,confirmed,suspected,cured,dead
2019-12-18,China,HuBeiProvince,WuHanCity,8,0,0,0
2019-12-19,China,,,9,0,0,0
2019-12-19,China,HuBeiProvince,,9,0,0,0
2019-12-19,China,HuBeiProvince,WuHanCity,9,0,0,0
2019-12-20,China,,,14,0,0,0
2019-12-20,China,HuBeiProvince,,14,0,0,0
2019-12-20,China,HuBeiProvince,WuHanCity,14,0,0,0
2019-12-21,China,,,18,0,0,0
2019-12-21,China,HuBeiProvince,,18,0,0,0
2019-12-21,China,HuBeiProvince,WuHanCity,18,0,0,0
2019-12-22,China,,,21,0,0,0
2019-12-22,China,HuBeiProvince,,21,0,0,0
2019-12-22,China,HuBeiProvince,WuHanCity,21,0,0,0
2019-12-23,China,,,29,0,0,0
2019-12-23,China,HuBeiProvince,,29,0,0,0
2019-12-23,China,HuBeiProvince,WuHanCity,29,0,0,0
2019-12-24,China,,,30,0,0,0
2019-12-24,China,HuBeiProvince,,30,0,0,0
2019-12-24,China,HuBeiProvince,WuHanCity,30,0,0,0
2019-12-25,China,,,33,0,0,0
2019-12-25,China,HuBeiProvince,,33,0,0,0
2019-12-25,China,HuBeiProvince,WuHanCity,33,0,0,0
2019-12-26,China,,,35,0,0,0
2019-12-26,China,HuBeiProvince,,35,0,0,0
2019-12-26,China,HuBeiProvince,WuHanCity,35,0,0,0
2019-12-27,China,,,37,0,0,0
2019-12-27,China,HuBeiProvince,,37,0,0,0
2019-12-27,China,HuBeiProvince,WuHanCity,37,0,0,0
2019-12-28,China,,,37,0,0,0
2019-12-28,China,HuBeiProvince,,37,0,0,0
2019-12-28,China,HuBeiProvince,WuHanCity,37,0,0,0
2019-12-29,China,,,37,0,0,0
2019-12-29,China,HuBeiProvince,,37,0,0,0
2019-12-29,China,HuBeiProvince,WuHanCity,37,0,0,0
2019-12-30,China,,,37,0,0,0
2019-12-30,China,HuBeiProvince,,37,0,0,0
2019-12-30,China,HuBeiProvince,WuHanCity,37,0,0,0
2019-12-31,China,,,40,0,0,0
2019-12-31,China,HuBeiProvince,,40,0,0,0
2019-12-31,China,HuBeiProvince,WuHanCity,40,0,0,0
2020-01-01,China,,,43,0,0,0
2020-01-01,China,HuBeiProvince,,43,0,0,0
2020-01-01,China,HuBeiProvince,WuHanCity,43,0,0,0
2020-01-02,China,,,44,0,0,0
2020-01-02,China,HuBeiProvince,,44,0,0,0
2020-01-02,China,HuBeiProvince,WuHanCity,44,0,0,0
2020-01-03,China,,,41,0,0,0
2020-01-03,China,HuBeiProvince,,41,0,0,0
2020-01-03,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-04,China,,,41,0,0,0
2020-01-04,China,HuBeiProvince,,41,0,0,0
2020-01-04,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-05,China,,,41,0,0,0
2020-01-05,China,HuBeiProvince,,41,0,0,0
2020-01-05,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-06,China,,,41,0,0,0
2020-01-06,China,HuBeiProvince,,41,0,0,0
2020-01-06,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-07,China,,,41,0,0,0
2020-01-07,China,HuBeiProvince,,41,0,0,0
2020-01-07,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-08,China,,,41,0,0,0
2020-01-08,China,HuBeiProvince,,41,0,0,0
2020-01-08,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-09,China,,,41,0,0,0
2020-01-09,China,HuBeiProvince,,41,0,0,0
2020-01-09,China,HuBeiProvince,WuHanCity,41,0,0,0
2020-01-10,China,,,41,0,2,1
2020-01-10,China,HuBeiProvince,,41,0,2,1
2020-01-10,China,HuBeiProvince,WuHanCity,41,0,2,1
2020-01-11,China,,,41,0,6,1
2020-01-11,China,HuBeiProvince,,41,0,6,1
2020-01-11,China,HuBeiProvince,WuHanCity,41,0,6,1
2020-01-12,China,,,41,0,7,1
2020-01-12,China,HuBeiProvince,,41,0,7,1
2020-01-12,China,HuBeiProvince,WuHanCity,41,0,7,1
2020-01-13,China,,,41,0,7,1
2020-01-13,China,HuBeiProvince,,41,0,7,1
2020-01-13,China,HuBeiProvince,WuHanCity,41,0,7,1
2020-01-14,China,,,41,0,7,1
2020-01-14,China,HuBeiProvince,,41,0,7,1
2020-01-14,China,HuBeiProvince,WuHanCity,41,0,7,1
2020-01-15,China,,,41,0,12,2
2020-01-15,China,HuBeiProvince,,41,0,12,2
2020-01-15,China,HuBeiProvince,WuHanCity,41,0,12,2
2020-01-16,China,,,45,0,15,2
2020-01-16,China,HuBeiProvince,,45,0,15,2
2020-01-16,China,HuBeiProvince,WuHanCity,45,0,15,2
2020-01-16,Japan,,,1,0,0,0
2020-01-16,Thailand,,,1,0,0,0
2020-01-17,China,,,62,0,19,2
2020-01-17,China,HuBeiProvince,,62,0,19,2
2020-01-17,China,HuBeiProvince,WuHanCity,62,0,19,2
2020-01-18,China,,,198,0,24,3
2020-01-18,China,HuBeiProvince,,121,0,24,3
2020-01-18,China,HuBeiProvince,WuHanCity,121,0,24,3
2020-01-19,China,,,275,0,25,4
2020-01-19,China,HuBeiProvince,,198,0,25,3
2020-01-19,China,HuBeiProvince,WuHanCity,198,0,25,3
2020-01-19,China,GuangDongProvince,,1,0,0,0
2020-01-19,China,GuangDongProvince,ShenZhenCity,1,0,0,0
2020-01-20,China,,,291,54,25,6
2020-01-20,China,BeiJingCity,,5,0,0,0
2020-01-20,China,JiLinProvince,,0,1,0,0
2020-01-20,China,ShangHaiCity,,1,0,0,0
2020-01-20,China,ShangHaiCity,WaiDeLaiHu,1,0,0,0
2020-01-20,China,ZheJiangProvince,,0,16,0,0
2020-01-20,China,AnHuiProvince,,0,1,0,0
2020-01-20,China,JiangXiProvince,,0,2,0,0
2020-01-20,China,ShanDongProvince,,0,1,0,0
2020-01-20,China,HuBeiProvince,,270,0,25,6
2020-01-20,China,GuangDongProvince,,14,7,0,0
2020-01-20,China,GuangXiZhuangZuZiZhiQu,,0,1,0,0
2020-01-20,China,HaiNanProvince,,0,1,0,0
2020-01-20,China,SiChuanProvince,,0,3,0,0
2020-01-20,China,GuiZhouProvince,,0,1,0,0
2020-01-20,China,YunNanProvince,,0,1,0,0
2020-01-20,China,NingXiaHuiZuZiZhiQu,,0,1,0,0
2020-01-20,Japan,,,1,0,0,0
2020-01-20,Korea,,,1,0,0,0
2020-01-20,Thailand,,,2,0,0,0
2020-01-21,China,,,440,37,25,9
2020-01-21,China,BeiJingCity,,10,0,0,0
2020-01-21,China,BeiJingCity,WuHanLaiJing,1,0,0,0
2020-01-21,China,BeiJingCity,XiChengQu,1,0,0,0
2020-01-21,China,BeiJingCity,FengTaiQu,1,0,0,0
2020-01-21,China,BeiJingCity,HaiDianQu,2,0,0,0
2020-01-21,China,BeiJingCity,TongZhouQu,1,0,0,0
2020-01-21,China,BeiJingCity,ChangPingQu,2,0,0,0
2020-01-21,China,BeiJingCity,DaXingQu,2,0,0,0
2020-01-21,China,TianJinCity,,2,0,0,0
2020-01-21,China,ShanXiProvince,,0,1,0,0
2020-01-21,China,JiLinProvince,,0,1,0,0
2020-01-21,China,HeiLongJiangProvince,,0,1,0,0
2020-01-21,China,HeiLongJiangProvince,MuDanJiangCity,0,1,0,0
2020-01-21,China,ShangHaiCity,,6,3,0,0
2020-01-21,China,ZheJiangProvince,,5,0,0,0
2020-01-21,China,ZheJiangProvince,HangZhouCity,1,0,0,0
2020-01-21,China,ZheJiangProvince,WenZhouCity,2,0,0,0
2020-01-21,China,ZheJiangProvince,ZhouShanCity,1,0,0,0
2020-01-21,China,ZheJiangProvince,TaiZhouCity,1,0,0,0
2020-01-21,China,AnHuiProvince,,0,1,0,0
2020-01-21,China,AnHuiProvince,HeFeiCity,0,1,0,0
2020-01-21,China,JiangXiProvince,,2,0,0,0
2020-01-21,China,JiangXiProvince,PingXiangCity,1,0,0,0
2020-01-21,China,JiangXiProvince,FuZhouCity,1,0,0,0
2020-01-21,China,ShanDongProvince,,1,0,0,0
2020-01-21,China,ShanDongProvince,QingDaoCity,1,0,0,0
2020-01-21,China,HeNanProvince,,1,0,0,0
2020-01-21,China,HeNanProvince,ZhengZhouCity,1,0,0,0
2020-01-21,China,HuBeiProvince,,375,0,28,9
2020-01-21,China,HuNanProvince,,1,0,0,0
2020-01-21,China,HuNanProvince,ZhangShaCity,1,0,0,0
2020-01-21,China,GuangDongProvince,,26,0,0,0
2020-01-21,China,GuangDongProvince,GuangZhouCity,2,0,0,0
2020-01-21,China,GuangDongProvince,ShaoGuanCity,2,0,0,0
2020-01-21,China,GuangDongProvince,ShenZhenCity,14,0,0,0
2020-01-21,China,GuangDongProvince,ZhuHaiCity,4,0,0,0
2020-01-21,China,GuangDongProvince,FuShanCity,1,0,0,0
2020-01-21,China,GuangDongProvince,ZhanJiangCity,2,0,0,0
2020-01-21,China,GuangDongProvince,HuiZhouCity,1,0,0,0
2020-01-21,China,GuangXiZhuangZuZiZhiQu,,0,2,0,0
2020-01-21,China,HaiNanProvince,,0,1,0,0
2020-01-21,China,ZhongQingCity,,5,0,0,0
2020-01-21,China,ZhongQingCity,WanZhouQu,2,0,0,0
2020-01-21,China,ZhongQingCity,ZhangShouQu,1,0,0,0
2020-01-21,China,ZhongQingCity,WuShanXian,2,0,0,0
2020-01-21,China,SiChuanProvince,,2,5,0,0
2020-01-21,China,SiChuanProvince,ChengDouCity,1,3,0,0
2020-01-21,China,SiChuanProvince,MianYangCity,0,2,0,0
2020-01-21,China,SiChuanProvince,GuangAnCity,1,0,0,0
2020-01-21,China,GuiZhouProvince,,0,1,0,0
2020-01-21,China,GuiZhouProvince,GuiYangCity,0,1,0,0
2020-01-21,China,YunNanProvince,,1,0,0,0
2020-01-21,China,NingXiaHuiZuZiZhiQu,,0,1,0,0
2020-01-21,Japan,,,1,0,0,0
2020-01-21,Korea,,,1,0,0,0
2020-01-21,Thailand,,,3,0,0,0
2020-01-22,China,,,571,393,25,17
2020-01-22,China,BeiJingCity,,14,0,0,0
2020-01-22,China,BeiJingCity,WuHanLaiJing,2,0,0,0
2020-01-22,China,BeiJingCity,XiChengQu,2,0,0,0
2020-01-22,China,BeiJingCity,ChaoYangQu,1,0,0,0
2020-01-22,China,BeiJingCity,FengTaiQu,1,0,0,0
2020-01-22,China,BeiJingCity,ShiJingShanQu,1,0,0,0
2020-01-22,China,BeiJingCity,HaiDianQu,2,0,0,0
2020-01-22,China,BeiJingCity,TongZhouQu,1,0,0,0
2020-01-22,China,BeiJingCity,ChangPingQu,2,0,0,0
2020-01-22,China,BeiJingCity,DaXingQu,2,0,0,0
2020-01-22,China,TianJinCity,,4,0,0,0
2020-01-22,China,HeBeiProvince,,1,0,0,0
2020-01-22,China,HeBeiProvince,ShiJiaZhuangCity,1,0,0,0
2020-01-22,China,ShanXiProvince,,1,0,0,0
2020-01-22,China,ShanXiProvince,TaiYuanCity,1,0,0,0
2020-01-22,China,LiaoNingProvince,,2,0,0,0
2020-01-22,China,LiaoNingProvince,ShenYangCity,1,0,0,0
2020-01-22,China,LiaoNingProvince,DaLianCity,1,0,0,0
2020-01-22,China,JiLinProvince,,1,0,0,0
2020-01-22,China,JiLinProvince,ZhangChunCity,1,0,0,0
2020-01-22,China,HeiLongJiangProvince,,1,0,0,0
2020-01-22,China,HeiLongJiangProvince,MuDanJiangCity,1,0,0,0
2020-01-22,China,ShangHaiCity,,16,22,0,0
2020-01-22,China,JiangSuProvince,,1,0,0,0
2020-01-22,China,JiangSuProvince,SuZhouCity,1,0,0,0
2020-01-22,China,ZheJiangProvince,,10,0,0,0
2020-01-22,China,ZheJiangProvince,HangZhouCity,1,0,0,0
2020-01-22,China,ZheJiangProvince,NingBoCity,3,0,0,0
2020-01-22,China,ZheJiangProvince,WenZhouCity,4,0,0,0
2020-01-22,China,ZheJiangProvince,ZhouShanCity,1,0,0,0
2020-01-22,China,ZheJiangProvince,TaiZhouCity,1,0,0,0
2020-01-22,China,AnHuiProvince,,1,4,0,0
2020-01-22,China,AnHuiProvince,HeFeiCity,1,3,0,0
2020-01-22,China,AnHuiProvince,LiuAnCity,0,1,0,0
2020-01-22,China,FuJianProvince,,1,0,0,0
2020-01-22,China,FuJianProvince,FuZhouCity,1,0,0,0
2020-01-22,China,JiangXiProvince,,3,0,0,0
2020-01-22,China,JiangXiProvince,NanChangCity,1,0,0,0
2020-01-22,China,JiangXiProvince,PingXiangCity,1,0,0,0
2020-01-22,China,JiangXiProvince,FuZhouCity,1,0,0,0
2020-01-22,China,ShanDongProvince,,6,0,0,0
2020-01-22,China,ShanDongProvince,QingDaoCity,3,0,0,0
2020-01-22,China,ShanDongProvince,WeiHaiCity,1,0,0,0
2020-01-22,China,ShanDongProvince,LinYiCity,2,0,0,0
2020-01-22,China,HeNanProvince,,5,0,0,0
2020-01-22,China,HeNanProvince,ZhengZhouCity,2,0,0,0
2020-01-22,China,HeNanProvince,GongYiCity,1,0,0,0
2020-01-22,China,HeNanProvince,LuoYangCity,1,0,0,0
2020-01-22,China,HeNanProvince,SanMenXiaCity,1,0,0,0
2020-01-22,China,HuBeiProvince,,444,0,28,17
2020-01-22,China,HuNanProvince,,4,0,0,0
2020-01-22,China,HuNanProvince,ZhangShaCity,1,0,0,0
2020-01-22,China,HuNanProvince,HuaiHuaCity,3,0,0,0
2020-01-22,China,GuangDongProvince,,32,0,0,0
2020-01-22,China,GuangDongProvince,GuangZhouCity,5,0,0,0
2020-01-22,China,GuangDongProvince,ShaoGuanCity,2,0,0,0
2020-01-22,China,GuangDongProvince,ShenZhenCity,15,0,0,0
2020-01-22,China,GuangDongProvince,ZhuHaiCity,4,0,0,0
2020-01-22,China,GuangDongProvince,FuShanCity,1,0,0,0
2020-01-22,China,GuangDongProvince,ZhanJiangCity,2,0,0,0
2020-01-22,China,GuangDongProvince,ZhaoQingCity,1,0,0,0
2020-01-22,China,GuangDongProvince,HuiZhouCity,1,0,0,0
2020-01-22,China,GuangDongProvince,ZhongShanCity,1,0,0,0
2020-01-22,China,GuangXiZhuangZuZiZhiQu,,2,1,0,0
2020-01-22,China,GuangXiZhuangZuZiZhiQu,LiuZhouCity,0,1,0,0
2020-01-22,China,GuangXiZhuangZuZiZhiQu,WuZhouCity,1,0,0,0
2020-01-22,China,GuangXiZhuangZuZiZhiQu,BeiHaiCity,1,0,0,0
2020-01-22,China,HaiNanProvince,,5,32,0,0
2020-01-22,China,HaiNanProvince,HaiKouCity,1,10,0,0
2020-01-22,China,HaiNanProvince,SanYaCity,2,8,0,0
2020-01-22,China,HaiNanProvince,DanZhouCity,0,3,0,0
2020-01-22,China,HaiNanProvince,WuZhiShanCity,0,2,0,0
2020-01-22,China,HaiNanProvince,QiongHaiCity,0,1,0,0
2020-01-22,China,HaiNanProvince,WenChangCity,0,1,0,0
2020-01-22,China,HaiNanProvince,WanNingCity,1,1,0,0
2020-01-22,China,HaiNanProvince,DongFangCity,0,1,0,0
2020-01-22,China,HaiNanProvince,LinGaoXian,1,2,0,0
2020-01-22,China,HaiNanProvince,ChangJiangLiZuZiZhiXian,0,2,0,0
2020-01-22,China,HaiNanProvince,QiongZhongLiZuMiaoZuZiZhiXian,0,1,0,0
2020-01-22,China,ZhongQingCity,,9,0,0,0
2020-01-22,China,ZhongQingCity,WanZhouQu,2,0,0,0
2020-01-22,China,ZhongQingCity,FuLingQu,1,0,0,0
2020-01-22,China,ZhongQingCity,ZhangShouQu,1,0,0,0
2020-01-22,China,ZhongQingCity,YongChuanQu,2,0,0,0
2020-01-22,China,ZhongQingCity,DianJiangXian,1,0,0,0
2020-01-22,China,ZhongQingCity,WuShanXian,2,0,0,0
2020-01-22,China,SiChuanProvince,,5,2,0,0
2020-01-22,China,SiChuanProvince,ChengDouCity,2,2,0,0
2020-01-22,China,SiChuanProvince,MianYangCity,2,0,0,0
2020-01-22,China,SiChuanProvince,GuangAnCity,1,0,0,0
2020-01-22,China,GuiZhouProvince,,3,0,0,0
2020-01-22,China,GuiZhouProvince,GuiYangCity,1,0,0,0
2020-01-22,China,GuiZhouProvince,TongRenCity,1,0,0,0
2020-01-22,China,GuiZhouProvince,QianNanBuYiZuMiaoZuZiZhiZhou,1,0,0,0
2020-01-22,China,ShanXiProvince,,4,0,0,0
2020-01-22,China,ShanXiProvince,XiAnCity,2,0,0,0
2020-01-22,China,ShanXiProvince,XianYangCity,1,0,0,0
2020-01-22,China,ShanXiProvince,YanAnCity,1,0,0,0
2020-01-22,China,NingXiaHuiZuZiZhiQu,,1,0,0,0
2020-01-22,China,NingXiaHuiZuZiZhiQu,YinChuanCity,1,0,0,0
2020-01-22,China,TaiWanProvince,,1,0,0,0
2020-01-22,China,XiangGangTeBieXingZhengQu,,1,0,0,0
2020-01-22,China,AoMenTeBieXingZhengQu,,1,0,0,0
2020-01-22,Japan,,,1,0,0,0
2020-01-22,Korea,,,1,0,0,0
2020-01-22,Thailand,,,3,0,0,0
2020-01-22,US,,,1,0,0,0
2020-01-23,China,,,830,1072,34,25
2020-01-23,China,BeiJingCity,,22,0,0,0
2020-01-23,China,BeiJingCity,WaiDeLaiJing,6,0,0,0
2020-01-23,China,BeiJingCity,XiChengQu,3,0,0,0
2020-01-23,China,BeiJingCity,ChaoYangQu,2,0,0,0
2020-01-23,China,BeiJingCity,FengTaiQu,1,0,0,0
2020-01-23,China,BeiJingCity,ShiJingShanQu,1,0,0,0
2020-01-23,China,BeiJingCity,HaiDianQu,3,0,0,0
2020-01-23,China,BeiJingCity,TongZhouQu,2,0,0,0
2020-01-23,China,BeiJingCity,ChangPingQu,2,0,0,0
2020-01-23,China,BeiJingCity,DaXingQu,2,0,0,0
2020-01-23,China,TianJinCity,,5,0,0,0
2020-01-23,China,HeBeiProvince,,2,0,0,1
2020-01-23,China,HeBeiProvince,ShiJiaZhuangCity,1,0,0,0
2020-01-23,China,HeBeiProvince,CangZhouCity,1,0,0,1
2020-01-23,China,ShanXiProvince,,1,0,0,0
2020-01-23,China,ShanXiProvince,TaiYuanCity,1,0,0,0
2020-01-23,China,NeiMengGuZiZhiQu,,1,2,0,0
2020-01-23,China,NeiMengGuZiZhiQu,HuLunBeiErCity,1,0,0,0
2020-01-23,China,NeiMengGuZiZhiQu,XiLinGuoLeiMeng,0,2,0,0
2020-01-23,China,LiaoNingProvince,,4,0,0,0
2020-01-23,China,LiaoNingProvince,ShenYangCity,2,0,0,0
2020-01-23,China,LiaoNingProvince,DaLianCity,1,0,0,0
2020-01-23,China,LiaoNingProvince,ChaoYangCity,1,0,0,0
2020-01-23,China,JiLinProvince,,3,0,0,0
2020-01-23,China,JiLinProvince,ZhangChunCity,1,0,0,0
2020-01-23,China,JiLinProvince,JiLinCity,1,0,0,0
2020-01-23,China,JiLinProvince,SongYuanCity,1,0,0,0
2020-01-23,China,HeiLongJiangProvince,,4,0,0,1
2020-01-23,China,HeiLongJiangProvince,HaErBinCity,1,0,0,0
2020-01-23,China,HeiLongJiangProvince,DaQingCity,1,0,0,0
2020-01-23,China,HeiLongJiangProvince,MuDanJiangCity,1,0,0,0
2020-01-23,China,HeiLongJiangProvince,SuiHuaCity,1,0,0,1
2020-01-23,China,ShangHaiCity,,20,34,0,0
2020-01-23,China,JiangSuProvince,,9,0,0,0
2020-01-23,China,JiangSuProvince,NanJingCity,3,0,0,0
2020-01-23,China,JiangSuProvince,WuXiCity,1,0,0,0
2020-01-23,China,JiangSuProvince,SuZhouCity,2,0,0,0
2020-01-23,China,JiangSuProvince,NanTongCity,1,0,0,0
2020-01-23,China,JiangSuProvince,LianYunGangCity,1,0,0,0
2020-01-23,China,JiangSuProvince,YangZhouCity,1,0,0,0
2020-01-23,China,ZheJiangProvince,,43,0,1,0
2020-01-23,China,ZheJiangProvince,HangZhouCity,6,0,0,0
2020-01-23,China,ZheJiangProvince,NingBoCity,5,0,0,0
2020-01-23,China,ZheJiangProvince,WenZhouCity,1,0,1,0
2020-01-23,China,ZheJiangProvince,JiaXingCity,1,0,0,0
2020-01-23,China,ZheJiangProvince,ShaoXingCity,1,0,0,0
2020-01-23,China,ZheJiangProvince,JinHuaCity,1,0,0,0
2020-01-23,China,ZheJiangProvince,QuZhouCity,2,0,0,0
2020-01-23,China,ZheJiangProvince,ZhouShanCity,1,0,0,0
2020-01-23,China,ZheJiangProvince,TaiZhouCity,4,0,0,0
2020-01-23,China,AnHuiProvince,,15,0,0,0
2020-01-23,China,AnHuiProvince,HeFeiCity,6,0,0,0
2020-01-23,China,AnHuiProvince,BangBuCity,1,0,0,0
2020-01-23,China,AnHuiProvince,AnQingCity,1,0,0,0
2020-01-23,China,AnHuiProvince,ChuZhouCity,1,0,0,0
2020-01-23,China,AnHuiProvince,FuYangCity,2,0,0,0
2020-01-23,China,AnHuiProvince,LiuAnCity,2,0,0,0
2020-01-23,China,AnHuiProvince,BoZhouCity,1,0,0,0
2020-01-23,China,AnHuiProvince,ChiZhouCity,1,0,0,0
2020-01-23,China,FuJianProvince,,4,0,0,0
2020-01-23,China,FuJianProvince,FuZhouCity,1,0,0,0
2020-01-23,China,FuJianProvince,ShaMenCity,1,0,0,0
2020-01-23,China,FuJianProvince,QuanZhouCity,1,0,0,0
2020-01-23,China,FuJianProvince,NingDeCity,1,0,0,0
2020-01-23,China,JiangXiProvince,,7,0,0,0
2020-01-23,China,JiangXiProvince,NanChangCity,2,0,0,0
2020-01-23,China,JiangXiProvince,PingXiangCity,1,0,0,0
2020-01-23,China,JiangXiProvince,JiuJiangCity,1,0,0,0
2020-01-23,China,JiangXiProvince,XinYuCity,1,0,0,0
2020-01-23,China,JiangXiProvince,JiAnCity,1,0,0,0
2020-01-23,China,JiangXiProvince,FuZhouCity,1,0,0,0
2020-01-23,China,ShanDongProvince,,9,0,0,0
2020-01-23,China,ShanDongProvince,QingDaoCity,3,0,0,0
2020-01-23,China,ShanDongProvince,WeiFangCity,1,0,0,0
2020-01-23,China,ShanDongProvince,WeiHaiCity,2,0,0,0
2020-01-23,China,ShanDongProvince,RiZhaoCity,1,0,0,0
2020-01-23,China,ShanDongProvince,LinYiCity,2,0,0,0
2020-01-23,China,HeNanProvince,,9,0,0,0
2020-01-23,China,HeNanProvince,ZhengZhouCity,3,0,0,0
2020-01-23,China,HeNanProvince,GongYiCity,2,0,0,0
2020-01-23,China,HeNanProvince,LuoYangCity,1,0,0,0
2020-01-23,China,HeNanProvince,SanMenXiaCity,1,0,0,0
2020-01-23,China,HeNanProvince,XinYangCity,1,0,0,0
2020-01-23,China,HeNanProvince,ZhouKouCity,1,0,0,0
2020-01-23,China,HuBeiProvince,,549,0,31,24
2020-01-23,China,HuBeiProvince,WuHanCity,495,0,0,0
2020-01-23,China,HuBeiProvince,ShiYanCity,1,0,0,0
2020-01-23,China,HuBeiProvince,YiChangCity,1,0,0,0
2020-01-23,China,HuBeiProvince,JingMenCity,8,0,0,0
2020-01-23,China,HuBeiProvince,XiaoGanCity,22,0,0,0
2020-01-23,China,HuBeiProvince,JingZhouCity,8,0,0,0
2020-01-23,China,HuBeiProvince,HuangGangCity,12,0,0,0
2020-01-23,China,HuBeiProvince,XianTaoCity,2,0,0,0
2020-01-23,China,HuNanProvince,,24,0,0,0
2020-01-23,China,HuNanProvince,ZhangShaCity,8,0,0,0
2020-01-23,China,HuNanProvince,ZhuZhouCity,1,0,0,0
2020-01-23,China,HuNanProvince,XiangTanCity,1,0,0,0
2020-01-23,China,HuNanProvince,YueYangCity,3,0,0,0
2020-01-23,China,HuNanProvince,ChenZhouCity,1,0,0,0
2020-01-23,China,HuNanProvince,YongZhouCity,4,0,0,0
2020-01-23,China,HuNanProvince,HuaiHuaCity,3,0,0,0
2020-01-23,China,HuNanProvince,LouDiCity,3,0,0,0
2020-01-23,China,GuangDongProvince,,53,0,2,0
2020-01-23,China,GuangDongProvince,GuangZhouCity,7,0,0,0
2020-01-23,China,GuangDongProvince,ShaoGuanCity,3,0,0,0
2020-01-23,China,GuangDongProvince,ShenZhenCity,15,0,2,0
2020-01-23,China,GuangDongProvince,ZhuHaiCity,8,0,0,0
2020-01-23,China,GuangDongProvince,FuShanCity,6,0,0,0
2020-01-23,China,GuangDongProvince,ZhanJiangCity,2,0,0,0
2020-01-23,China,GuangDongProvince,ZhaoQingCity,1,0,0,0
2020-01-23,China,GuangDongProvince,HuiZhouCity,5,0,0,0
2020-01-23,China,GuangDongProvince,YangJiangCity,3,0,0,0
2020-01-23,China,GuangDongProvince,QingYuanCity,1,0,0,0
2020-01-23,China,GuangDongProvince,ZhongShanCity,2,0,0,0
2020-01-23,China,GuangXiZhuangZuZiZhiQu,,13,0,0,0
2020-01-23,China,GuangXiZhuangZuZiZhiQu,LiuZhouCity,2,0,0,0
2020-01-23,China,GuangXiZhuangZuZiZhiQu,GuiLinCity,2,0,0,0
2020-01-23,China,GuangXiZhuangZuZiZhiQu,WuZhouCity,1,0,0,0
2020-01-23,China,GuangXiZhuangZuZiZhiQu,BeiHaiCity,6,0,0,0
